id  | recipe_id | step|  detail_en                                                                                                           | detail_fr
1   | 1         | 1   | Slice the baguette in pieces                                                                                         | Couper la baguette en tranche, sans aller jusqu'au bout (les tranches de pain doivent être jointes sur 2 cm environ)
2   | 1         | 2   | Chop the garlic and the parsley                                                                                      | Hacher les gousses d'ail avec le persil
3   | 1         | 3   | Slightly melt the butter (just to soften it a little)                                                                | Faire fondre légèrement le beurre (il faut juste qu'il soit mou)
4   | 1         | 4   | Mix the butter, the garlic and the parsley together                                                                  | Mélanger le beurre, l'ail et le persil, pour former une pâte homogène
5   | 1         | 5   | Spread out the mixture on both sides of the bread                                                                    | Etaler des morceaux de ce mélange, entre les tranches de pain (des 2 côtés de chaque tranche)
6   | 1         | 6   | Put in the oven at 180 °C                                                                                            | Mettre au four à 180°C
7   | 2         | 1   | Slice the shallot                                                                                                    | Coupez l'échalote en tout petits morceaux
8   | 2         | 2   | In a mixing bowl, crumble the tuna add add the shallot. Pour some lemon juice, then add the St Moret                 | Dans un grand bol, émiettez le thon et ajoutez l'échalote. Arrosez avec le jus de citron, puis ajoutez le St Moret
9   | 2         | 3   | Mix everything, then add a drop of tabasco and salt                                                                  | Bien mélanger, versez ensuite quelques gouttes de Tabasco et salez légèrement
10  | 2         | 4   | Put the result in the fridge to cool it down. You can serve it with bread                                            | Mettre au frais pendant que vous faites griller des tartines de pain de mie que vous coupez en 4. Mettez des fourchettes dans le bol, et servez l'apéro !
11  | 3         | 1   | Put butter on the bread (on 1 side only). Add cheese on top of the other side of the bread. Add ham.                 | Beurrez les 8 tranches de pain de mie sur une seule face. Posez 1 tranche de fromage sur chaque tranche de pain de mie
12  | 3         | 2   | In a bowl, mix the grated cheese with the milk. Add some salt, pepper and nutmeg                                     | Dans un bol mélanger le fromage râpé avec le lait, le sel, le poivre et la muscade
13  | 3         | 3   | Spread out the mixture on the 'croque-monsieur'                                                                      | Répartissez le mélange sur les croque-monsieur
14  | 3         | 4   | Put the 'croque-monsieur' in the oven for 10 minutes (grill mode)                                                    | Placez sur une plaque au four sous le grill pendant 10 min.
15  | 4         | 1   | Peel and slice the apples                                                                                            | Pelez et coupez les pommes en fines tranches
16  | 4         | 2   | In a mixing bowl, mix the sugar, the eggs and the vanilla sugar                                                      | Dans un saladier, mélangez le sucre, les oeufs, le sucre vanillé
17  | 4         | 3   | The sour cream                                                                                                       | la crème fraîche
18  | 4         | 4   | Put the dough in the pie pan and pierce the bottom with a fork. Spread out the apples on the dough.                  | Etalez la pâte dans un moule à tarte et piquez le fond à l'aide d'une fourchette. Disposez les pommes sur la pâte et versez le tout sur les pommes (ou versez uniquement la crème)
19  | 4         | 5   | Then ann the rest of your apples in a rose shape                                                                     | Puis disposer les lamelles de pommes roulées sur elles-même en roses
20  | 4         | 6   | In the oven for approx. 30 minutes (until the dough has a golden color)                                              | Enfournez environ 30 minutes, jusqu'à ce que la tarte prenne une belle couleur dorée
21  | 5         | 1   | Preheat the oven (180 °C). In a pan, melt the chocolate and the butter (low temperature)                             | Préchauffez votre four à 180°C (thermostat 6). Dans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux
22  | 5         | 2   | In a mixing bowl, add the sugar, the eggs, the flour. Mix                                                            | Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez
23  | 5         | 3   | Add the mixture chocolate/butter. Mix thoroughly                                                                     | Ajoutez le mélange chocolat/beurre. Mélangez bien
24  | 5         | 4   | Spread out some butter and flour at the bottom of the pie pan. Pour the mixture                                      | Beurrez et farinez votre moule puis y versez la pâte à gâteau
25  | 5         | 5   | In the oven for approx. 20 minutes                                                                                   | Faites cuire au four environ 20 minutes
26  | 6         | 1   | Break down the chocolate into small nuggets                                                                          | Détailler le chocolat en pépites
27  | 6         | 2   | Preheat the oven at 180 °C. In a mixing bowl, pour 75g of butter, the sugar, the egg and the vanilla. Mix everything | Préchauffer le four à 180°C (thermostat 6). Dans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout
28  | 6         | 3   | Add, little by little, the flour, the yeast, the salt and the chocolate                                              | Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat
29  | 6         | 4   | Put some butter at the bottom of a pan and shape some cookies on top of it                                           | Beurrer une plaque allant au four et former les cookies sur la plaque
30  | 6         | 5   | To shape the cookies, use 2 coffee spoons. Don't put the cookies too close from one another                          | Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson
31  | 6         | 6   | In the oven for 10 minutes                                                                                           | Enfourner pour 10 minutes de cuisson
32  | 7         | 1   | Preheat the oven at 180 °C. Mix all the ingredients together regarding the following order : yeast                   | Préchauffer le four à 180°C (thermostat 6). Mélanger tout simplement les ingrédients un à un en suivant l'ordre suivant : levure
33  | 7         | 2   | yogurt                                                                                                               | yaourt
34  | 7         | 3   | oil                                                                                                                  | huile
35  | 7         | 4   | sugar                                                                                                                | sucre
36  | 7         | 5   | flour                                                                                                                | farine
37  | 7         | 6   | egg and zest                                                                                                         | oeuf et zeste
38  | 7         | 7   | Put some butter at the bottom of a pan                                                                               | Beurrer un moule à manqué et y verser la pâte
39  | 7         | 8   | In the oven for 30 minutes                                                                                           | Enfourner pour environ 30 minutes de cuisson
40  | 7         | 9   | Check the cooking with the tip of a knife (it must comes out dry)                                                    | Vérifier la cuisson avec la pointe d'un couteau (elle doit ressortir sèche)
41  | 8         | 1   | In a glass (40 cl more or less), put 3 coffee spoon of cane sugar                                                    | Dans un verre de taille moyenne (contenance 40 cl environ), mettez 3 cuillères à café de sucre de canne
42  | 8         | 2   | Add the juice of half a lime                                                                                         | Ajoutez-y le jus d'1/2 citron vert
43  | 8         | 3   | Slice the mint and put it in a glass                                                                                 | Coupez en 3 ou 4 votre branche de menthe et mettez-la dans le verre (le fait de la couper permet à la saveur de la menthe de mieux se diffuser)
44  | 8         | 4   | Add a little bit of sparkling water                                                                                  | Ajoutez un peu d'eau gazeuse (environ 3 cl) puis avec une cuillère à café, remuez bien le tout et écrasez la menthe
45  | 8         | 5   | Add 5 ice cubes                                                                                                      | Ajoutez 5 glaçons environ
46  | 8         | 6   | Pour 6 cl of rum                                                                                                     | Ensuite versez 6 cl de rhum (en versant à débit moyen). Pour la dose plutôt chargée, comptez jusqu'à 5; pour la dose légère jusqu'à 4
47  | 8         | 7   | Finish it off with sparkling water                                                                                   | Enfin, complétez avec de l'eau gazeuse
48  | 9         | 1   | Peel the lemons                                                                                                      | Peler les citrons à vif
49  | 9         | 2   | Mix the tequila, cointreau, sugar and lemons together                                                                | Mixer la tequila, le cointreau, le sucre et les citrons
50  | 9         | 3   | Add the ice                                                                                                          | Mélanger avec la glace pilée
51  | 9         | 4   | Bon appétit !                                                                                                        | Déguster, avec ou sans paille !
52  | 10        | 1   | Wash the agrumes. Get the juice from 1 lemon, slice the other one                                                    | Lavez les agrumes. Pressez le jus de 1 citron, émincez l'autre en fines rondelles
53  | 10        | 2   | Peel the orange and get the juice inside                                                                             | Prélevez l'écorce de l'orange en longue spirale avec un couteau économe, puis pressez le jus
54  | 10        | 3   | Pour the wine. Add the lemon, the lemon juice, the orange juice, the sugar and the cinnamon                          | Versez le vin dans une grande carafe avec les rondelles de citron débarrassées des pépins, le jus de citron et le jus d'orange, le sucre et la cannelle
55  | 10        | 4   | Stir until the sugar is fully incorporated                                                                           | Tournez pour faire fondre le sucre
56  | 10        | 5   | Add sparkling water                                                                                                  | Ajoutez l'eau gazeuse
57  | 10        | 6   | At least 1 h in the fridge                                                                                           | Placez au moins 1 h au frigo avant de servir
58  | 10        | 7   | Serve frosty                                                                                                         | Servez bien froid
59  | 11        | 1   | Cut the cervelas at the length (so you can open them a little)                                                       | Entaillez les cervelas dans la longueur sans aller jusqu'au bout, de manière à pouvoir les ouvrir un peu
60  | 11        | 2   | Put cheese inside, add pepper. Enroll bacon around the cervelas                                                      | Glissez des lamelles de fromage dans l'entaille, poivrez et enroulez une tranche de lard autour des cervelas, au centre
61  | 11        | 3   | Hold with a stick if necessary                                                                                       | Maintenez à l'aide d'un pic en bois si nécessaire
62  | 11        | 4   | In the oven at 180 °C (until the bacon is crispy and the cheese is melted)                                           | Faites cuire à la poêle environ 10 minutes, ou bien au four à 180°C (thermostat 6) pendant 15 min. Le lard doit être juste grillé et le fromage fondu
63  | 12        | 1   | Peel and chop the onions                                                                                             | Pelez et émincez les oignons
64  | 12        | 2   | Cook them in a pan with butter and oil until a slight coloration                                                     | Faites-les revenir dans le mélange beurre et huile jusqu'à ce qu'ils soient tendres et légèrement dorés
65  | 12        | 3   | Pour some flour on top of it. Add a bit of hot water, white wine, salt and pepper                                    | Saupoudrez le mélange de farine, mouillez d'eau chaude et de vin blanc et assaisonnez
66  | 12        | 4   | Cover and let boil for 20 minutes                                                                                    | Couvrez et laissez bouillonner doucement pendant 20 minutes
67  | 12        | 5   | Grill the bread                                                                                                      | Faites grillez le pain
68  | 12        | 6   | Put each slice at the bottom of pan                                                                                  | Disposez chaque tranche dans le fond de 4 petits bols individuels supportant le passage au four
69  | 12        | 7   | Add grated cheese. Pour the soup                                                                                     | Saupoudrez d'un peu de fromage râpé. Versez la soupe par-dessus
70  | 12        | 8   | Add some grated cheese and put in the oven                                                                           | Saupoudrez à nouveau de fromage et faites gratiner
71  | 13        | 1   | Peel and dice the cucumber. Dice the tomates. Put them in a mixing bowl                                              | Éplucher le concombre et le couper en petits dés. Le mettre dans un grand saladier. Laver les tomates, les couper en petits dés et les ajouter dans le saladier
72  | 13        | 2   | Add some corn                                                                                                        | Ouvrir le pot de maïs, l’égoutter dans l’évier et le verser également dans le saladier dans la même proportion que le reste (il ne faut pas mettre toute la boîte)
73  | 13        | 3   | Cook the pasta. Once they are cooked, add them to the rest                                                           | Cuire les pâtes dans de l’eau légèrement salée et dans laquelle on aura versé un filet d’huile d’olive. Lorsqu’elles sont cuites, égoutter les pâtes, les laisser un peu refroidir, puis les ajouter au reste de la préparation. Mélanger
74  | 13        | 4   | Crumble the salmon and add it to the rest                                                                            | Ouvrir la boîte de thon, l’égoutter puis l’émietter dans sa boîte à l’aide d’un petit couteau. L’incorporer au fur et à mesure au reste de la salade
75  | 13        | 5   | Stir it and add the mayonnaise                                                                                       | Bien mélanger le tout et y ajouter de la mayonnaise juste avant de servir
76  | 14        | 1   | Preparation of the farce :                                                                                           | Préparation de la farce :
77  | 14        | 2   | dice the meat. Chop the shallot and the garlic. Let everything marinate together for 48 hours                        | découper la viande en fines lanières, émincer finement les échalotes et l'ail. Faire mariner la viande avec l'ensemble des épices dans un plat, au réfrigérateur, pendant 48 heures, en mélangeant deux fois par jour
78  | 14        | 3   | Preparation of the dough :                                                                                           | Préparation de la pâte :
79  | 14        | 4   | Prepare the dough                                                                                                    | Dans un saladier, tamiser la farine, disperser le sel sur le pourtour, créer un puits au centre, y émietter la levure. Battre 1 oeuf et demi dans le lait tiédi. Verser dans le puits. Incorporer ensuite le beurre et le saindoux ramollis
80  | 14        | 5   | Place the dough at the bottom of a pie pan                                                                           | Séparer la pâte en deux. Abaisser une partie au rouleau et la foncer dans une platine (26 cm) à bords assez hauts. Piquer le fond à la fourchette
81  | 14        | 6   | Take out the thyme, rosemary, sage and bayleaf from the marinade. Drain the meat                                     | Retirer les branches de thym, romarin et feuilles de sauge et laurier de la marinade. Bien égoutter la viande et l'essuyer
82  | 15        | 1   | Dice the bread and color it in a pan with oil                                                                        | Faites dorer le pain, coupé en cubes, 3 min dans un peu d'huile
83  | 15        | 2   | In a mixing bowl, tear off the salad and add breadcrumbs                                                             | Déchirez les feuilles de romaine dans un saladier, et ajoutez les croûtons préalablement épongés dans du papier absorbant
84  | 15        | 3   | Prepare the sauce. Cook the egg in boiling water for 90 seconds                                                      | Préparez la sauce : Faites cuire l'oeuf 1 min 30 dans l'eau bouillante, et rafraîchissez-le
85  | 15        | 4   | Break the egg in the bowl. Blend everything and add to the salad                                                     | Cassez-le dans le bol d'un mixeur et mixez, avec tous les autres ingrédients; rectifiez l'assaissonnement et incorporez à la salade
86  | 15        | 5   | Add the parmesan and serve                                                                                           | Décorez de copeaux de parmesan, et servez
87  | 16        | 1   | Slightly cook the meat in a skillet with butter                                                                      | Faire revenir la viande dans un peu de beurre doux jusqu'à ce que les morceaux soient un peu dorés
88  | 16        | 2   | Add some flour. Stir                                                                                                 | Saupoudrer de 2 cuillères de farine. Bien remuer
89  | 16        | 3   | Add a couple of glass water, stock cubes and wine. Stir and add water if necessary                                   | Ajouter 2 ou 3 verres d'eau, les cubes de bouillon, le vin et remuer. Ajouter de l'eau si nécessaire pour couvrir
90  | 16        | 4   | Cut the carrots. Chop the onions. Chop the mushrooms. Add everything to the meat                                     | Couper les carottes en rondelles et émincer les oignons puis les incorporer à la viande, ainsi que les champignons
91  | 16        | 5   | Let simmering for 90-120 minutes                                                                                     | Laisser mijoter à feu très doux environ 1h30 à 2h00 en remuant
92  | 16        | 6   | In a bowl, mix the cream, the yolk and the lemon juice. Add them at the last moment and stir properly before serving | Dans un bol, bien mélanger la crème fraîche, le jaune d’oeuf et le jus de citron. Ajouter ce mélange au dernier moment, bien remuer et servir tout de suite
93  | 17        | 1   | Color the onions in a pan (medium temperature)                                                                       | Faites revenir les oignons à feux doux
94  | 17        | 2   | Add the meat                                                                                                         | Ajouter les steaks
95  | 17        | 3   | When they are cooked, put cheddar on top and let the cheese melt                                                     | Une fois saisi, poser une tranche de cheddar sur le steak et laisser fondre
96  | 17        | 4   | Add the steak on bread on which you put ketchup and mustard                                                          | Une fois cuit, déposer le steak et le fromage sur une des tranches du pain que vous aurez auparavant tartinée d'un mélange de ketchup et de moutarde
97  | 17        | 5   | Add the lettuce and the tomatoes                                                                                     | Ajouter la salade et de petites rondelles de tomates
98  | 18        | 1   | Color the onions and the garlic in olive oil                                                                         | Faire revenir gousses hachées d'ail et les oignons émincés dans un peu d'huile d'olive
99  | 18        | 2   | Add the carrot, the celery and the meat                                                                              | Ajouter la carotte et la branche de céleri hachée puis la viande et faire revenir le tout
100 | 18        | 3   | After a few minutes, add the wine. Reduce the wine                                                                   | Au bout de quelques minutes, ajouter le vin rouge. Laisser cuire jusqu'à évaporation
101 | 18        | 4   | Add tomato paste, water and herbs. Add salt, pepper and let simmer for 45 minutes                                    | Ajouter la purée de tomates, l'eau et les herbes. Saler, poivrer, puis laisser mijoter à feu doux 45 minutes
102 | 18        | 5   | Prepare the bechamel : melt the butter in a pan                                                                      | Préparer la béchamel : faire fondre le beurre
103 | 18        | 6   | Add the flour                                                                                                        | Ajouter la farine
104 | 18        | 7   | Pour the milk little by little                                                                                       | Ajouter le lait peu à peu
105 | 18        | 8   | Keep stiring until the sauce looks good                                                                              | Remuer sans cesse, jusqu'à ce que le mélange s'épaississe
106 | 18        | 9   | Add the salt, pepper and nutmeg                                                                                      | Ensuite, parfumer avec la muscade, saler, poivrer. Laisser cuire environ 5 minutes, à feu très doux, en remuant. Réserver
107 | 18        | 10  | Preheat the oven at 200 °C. Oil the pan and build the lasagna                                                        | Préchauffer le four à 200°C (thermostat 6-7). Huiler le plat à lasagnes. Poser une fine couche de béchamel puis des feuilles de lasagnes, de la bolognaise, de la béchamel et du parmesan. Répéter l'opération 3 fois de suite
108 | 18        | 11  | In the oven for 25 minutes                                                                                           | Enfourner pour environ 25 minutes de cuisson
109 | 19        | 1   | Diced the cheeses. Put the cream in a pan, reduce it. Add cheese                                                     | Coupez les fromages en morceaux. Mettre la crème dans une casserole, la faire bouillir et réduire 3 mn à feu doux. Hors du feu, rajoutez les fromages mais seulement la moitié du parmesan en mélangeant vivement
110 | 19        | 2   | Put at low temperature. Add salt, pepper and nutmeg                                                                  | Remettez à feu doux jusqu'à ce que le mélange soit lisse. Poivrez et relevez de muscade
111 | 19        | 3   | Cook the pasta                                                                                                       | Pendant ce temps, faîtes cuire les pâtes suivant le temps indiqué sur votre paquet (pâtes fraîches c'est encore meilleur)
112 | 19        | 4   | Put the pasta in the sauce. Add parmesan. Serve                                                                      | Egouttez les pâtes, versez-les dans la casserole contenant la sauce aux trois fromages. Mélangez rapidement, parsemez du reste de parmesan et servez
113 | 20        | 1   | Prepare the pizza                                                                                                    | Préparer la pizza
114 | 21        | 1   | Preheat the oven at 200 °C. Mix the tomato sauce with the spices. Add salt and pepper                                | Préchauffer le four à 200°C (thermostat 6-7). Mélanger le coulis de tomate avec le 4 épices, saler et poivrer si besoin
115 | 21        | 2   | Slice the mozzarella                                                                                                 | Egoutter la mozzarella et la couper en tranches
116 | 21        | 3   | Cut the pizza dough and place it on the pan. Pour tomato sauce and add mozzarella                                    | Dérouler la pâte à pizza et la placer sur une plaque allant au four en conservant le papier cuisson dessous. Badigeonner de coulis de tomate et répartir les tranches de mozzarella
117 | 21        | 4   | In the oven for 15 minutes                                                                                           | Enfourner 15 minutes
118 | 21        | 5   | Add pepperoni and basil                                                                                              | Ajouter les tranches de pepperoni et les feuilles de basilic
119 | 21        | 6   | Back in the oven for 5 more minutes                                                                                  | Enfourner à nouveau 5 minutes
120 | 22        | 1   | Chop onions and garlic. Color them in a pan with butter                                                              | Hacher l'oignon et l'ail. Les faire revenir dans le beurre jusqu'à ce qu'ils soient tendres
121 | 22        | 2   | Add the tomatoes (concassee), minced meat, flour, salt, pepper and herbes de provence                                | Ajouter les tomates coupées en dés, la viande hachée, la farine, du sel, du poivre et les herbes de Provence
122 | 22        | 3   | When everything is cooked, add the egg yold and a bit of parmesan. Stir properly                                     | Quand tout est cuit, couper le feu et ajouter le jaune d'oeuf et un peu de parmesan. Bien mélanger
123 | 22        | 4   | Prepare the mashed potatoes. Put it on top of the meat. In the oven at 200 °C                                        | Préchauffer le four à 200°C (thermostat 6-7). Etaler au fond du plat à gratin. Préparer la purée. L'étaler au dessus de la viande. Saupoudrer de fromage râpé et faire gratiner
124 | 23        | 1   | Chop the sage, basil and parsley                                                                                     | Hachez la sauge, le basilic et le persil
125 | 23        | 2   | Chop the onions. Dice the celery                                                                                     | Hachez les oignons, découpez le céleri en cubes
126 | 23        | 3   | Dice the mushrooms                                                                                                   | Détaillez les champignons en cubes également
127 | 23        | 4   | Cook the onions, celery and mushrooms in olive oil                                                                   | Faites chauffer 3 cuillerées à soupe d'huile d'olive dans une cocotte, mettez-y les oignons, le céleri et les champignons
128 | 23        | 5   | Add the garlic, tomato paste and minced meat                                                                         | Ajoutez l'ail écrasé, le concentré de tomate, la sauce tomate, la viande hachée et pressez bien le tout
129 | 23        | 6   | Add the thyme and bayleaf. Pour 50 cl of water. Add the herbs, 2 sugar cubes, harissa, salt and pepper               | Ajoutez alors le thym et le laurier, mouillez de 50 cl d'eau, rajoutez les herbes fraîches hachées, 2 morceaux de sucre, la harissa, assaisonner
130 | 23        | 7   | Let simmer for 30 minutes                                                                                            | Laissez mijoter 30 min à feu doux
131 | 23        | 8   | 10 minutes before the end, cook the pasta                                                                            | 10 minutes avant la fin, faites cuire les pâtes al dente
132 | 23        | 9   | Take the bayleaf off the sauce. Add the pasta                                                                        | Retirez le laurier de la sauce, versez-la sur les pâtes
133 | 23        | 10  | Add parmesan and serve                                                                                               | Parsemez de parmesan et servez
134 | 24        | 1   | Cook the pasta                                                                                                       | Portez à ébullition un faitout d'eau salée. Plongez-y les spaghetti et laissez-les cuire environ 12 min, jusqu'à ce qu'ils soient al dente
135 | 24        | 2   | While the pasta are cooking, cook the lardons                                                                        | Pendant la cuisson des spaghetti, faites revenir les lardons à sec dans une poêle, jusqu'à ce qu'ils soient bien dorés
136 | 24        | 3   | Add the cream. Add salt and pepper. Add the yolks                                                                    | Baissez le feu et incorporez la crème fraîche. Salez légèrement, poivrez généreusement et ajoutez les jaunes d'oeufs, en fouettant pour qu'ils ne cuisent pas
137 | 24        | 4   | Add the pasta to the sauce                                                                                           | Egouttez les pâtes. Versez-les dans la sauteuse, mélangez et transvasez dans un plat de service
138 | 24        | 5   | Add parmesan and serve                                                                                               | Servez en présentant le parmesan à part
139 | 25        | 1   | Cook the pasta                                                                                                       | Cuire les pâtes à l'eau bouillante salée selon le temps indiqué sur le paquet
140 | 25        | 2   | While the pasta are cooking, melt the butter in a pan and addd the cream                                             | Pendant ce temps, faire fondre le beurre dans une casserole et y ajouter la crème
141 | 25        | 3   | When the cream is warm, add the diced salmon                                                                         | Quand la crème est bien chaude, y plonger les dés de saumon, ils doivent cuire à la chaleur de la crème
142 | 25        | 4   | When the salmon is cooked, add salt, pepper and nutmeg                                                               | Quand ils sont cuits (ils doivent se détacher), ajouter le sel, le poivre et la muscade moulue
143 | 25        | 5   | Add the pasta to the sauce                                                                                           | Ajouter les pâtes à la sauce
144 | 25        | 6   | Add parmesan and serve                                                                                               | Ajouter du parmesan et servez
145 | 26        | 1   | Peel and dice the potatoes                                                                                           | Eplucher les pommes de terre, les couper en dés, bien les rincer et les essuyer dans un torchon propre
146 | 26        | 2   | Cook the onions in a pan with oil                                                                                    | Faire chauffer l'huile dans une poêle, y faire fondre les oignons
147 | 26        | 3   | Add the potatoes and color them                                                                                      | Lorsque les oignons sont fondus, ajouter les pommes de terre et les faire dorer de tous les côtés
148 | 26        | 4   | Add the lardons                                                                                                      | Lorsqu'elles sont dorées, ajouter les lardons et finir de cuire
149 | 26        | 5   | Cut the cheese                                                                                                       | D'autre part, gratter la croûte du reblochon et le couper en deux (ou en quatre)
150 | 26        | 6   | Preheat the oven at 200 °C                                                                                           | Préchauffer le four à 200°C (thermostat 6-7) et préparer un plat à gratin en frottant le fond et les bords avec la gousse d'ail épluchée
151 | 26        | 7   | Build the tartiflette (cheese on top of everything)                                                                  | Dans le plat à gratin, étaler une couche de pommes de terre aux lardons, disposer dessus la moitié du reblochon, puis de nouveau des pommes de terre. Terminer avec le reste du reblochon (croûte vers les pommes de terre)
152 | 26        | 8   | In the oven for 20 minutes                                                                                           | Enfourner pour environ 20 minutes de cuisson
153 | 27        | 1   | Melt the butter in a pan                                                                                             | Faites fondre le beurre dans une casserole à fond épais
154 | 27        | 2   | Add the flour                                                                                                        | Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir
155 | 27        | 3   | Add the milk little by little and keep stiring                                                                       | Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe
156 | 27        | 4   | Add salt, pepper and nutmeg                                                                                          | Assaisonnez de sel, poivre et muscade râpée
157 | 28        | 1   | Get the juice from the lemon. Dice the butter                                                                        | Pressez le jus du citron, réservez. Coupez le beurre en dés
158 | 28        | 2   | Dilute the yolk with some water                                                                                      | Battez les jaunes d'oeufs avec 2 cuillerées à soupe d'eau froide
159 | 28        | 3   | Place in a bain-marie and whisk until you have a nice sauce                                                          | Placez dans un bain-marie chaud et fouettez jusqu'à l'obtention d'une crème mousseuse et légère
160 | 28        | 4   | Add the melted butter                                                                                                | Ajoutez alors le beurre en morceaux en plusieurs fois, en fouettant bien à chaque fois
161 | 28        | 5   | Add salt, pepper and add lemon juice before serving                                                                  | Salez, poivrez et incorporez le jus du citron avant de servir
162 | 29        | 1   | Mix the egg yolk, salt, pepper, mustard and vinegar                                                                  | Les ingrédients doivent être à température ambiante. Mélangez le jaune d'oeuf, un peu de sel, poivre, la moutarde et le vinaigre
163 | 29        | 2   | Whisk with oil until wanted consistency                                                                              | Fouetter en versant peu à peu l'huile, la mayonnaise doit peu à peu épaissir
164 | 29        | 3   | You can add herbs or lemon for flavor                                                                                | On peut y ajouter des herbes ou du citron pour la parfumer
165 | 30        | 1   | Prepare the tomato sauce                                                                                             | Préparer la sauce tomate
166 | 31        | 1   | Wash, peel and cut the potatoes                                                                                      | Peler les pommes de terre et les laver, puis les détailler en parallélépipèdes à base carrée d’environ 1,5 cm de côté (en d’autres termes, en grosses frites). Les laver à nouveau et bien les sécher dans un torchon à vaisselle propre
167 | 31        | 2   | Deep fry them a first time at 150 °C                                                                                 | Les faire cuire une première fois dans l’huile chauffée à 150°C, pendant 7 à 8 minutes. Il ne faut pas surcharger la friteuse: pour 1 kg de pommes de terre, cuire 1/3 des frites à la fois
168 | 31        | 3   | Deep fry them a second time at 190 °C                                                                                | Cuire les frites une seconde fois dans l’huile chauffée à 190°C pendant environ 3 mn (elles doivent être croustillantes sans être dures)
169 | 32        | 1   | Wash, peel and cut the potatoes                                                                                      | Eplucher et laver les pommes de terre, puis les couper en tranches de 1,5 cm d'épaisseur, puis en cubes. Ne plus les laver
170 | 32        | 2   | Color the potatoes in a pan with oil                                                                                 | Dans une sauteuse, faire chauffer 3 cuillères à soupe d'huile. Lorsque l'huile est chaude, y mettre les pommes de terre d'un coup, puis les enrober d'huile dans tous les sens avec une cuillère en bois
171 | 32        | 3   | Add salt, pepper and curry                                                                                           | Ajouter sel et poivre (et éventuellement curry), puis re-mélanger
172 | 32        | 4   | Cook the potatoes                                                                                                    | Porter à feu maximal et faire cuire avec le couvercle jusqu'à ce qu'une bonne odeur de pommes de terre grillées s'échappe... Ne pas les découvrir avant! Cela prend entre 3 et 5 minutes
173 | 33        | 1   | Peel and cut the potatoes                                                                                            | Epluchez et coupez les pommes de terre en morceaux
174 | 33        | 2   | Cook the potatoes in water                                                                                           | Mettez-les à cuire dans un grand volume d'eau salée jusqu'à ce que la pointe d'un couteau rentre facilement dans la chair
175 | 33        | 3   | Mash the potatoes                                                                                                    | Passez-les alors au moulin à légumes
176 | 33        | 4   | Add the milk, cream and nutmeg                                                                                       | Ajoutez le lait pour délayez jusqu'à la consistance souhaitée, la crème fraîche pour l'onctuosité et un peu de muscade râpée
177 | 34        | 1   | Wash and peel the potatoes                                                                                           | Eplucher et laver les pommes de terre
178 | 34        | 2   | Cook the potatoes in water                                                                                           | Cuire les pommes de terre à l'eau, ou à la vapeur, jusqu'à ce qu'elles soient bien tendre
179 | 34        | 3   | Preheat the oven at 200 °C. Mash the potatoes                                                                        | Préchauffer le four à 200°C (thermostat 6/7). Écraser les pommes de terre à la fourchette ou les passer au moulin à légumes
180 | 34        | 4   | Mix the potatoes with butter and egg yolk. Add salt and pepper                                                       | Mélanger la purée ainsi obtenue avec le beurre et les jaunes d'oeufs. Saler et poivrer
181 | 34        | 5   | Place the mixture in a piping bag. Drop it on a pan                                                                  | Placer la préparation dans une poche à douille et déposer des noix de préparation sur une plaque recouverte de papier cuisson. Si vous n'avez pas de poche à douille, utiliser une cuillère
182 | 34        | 6   | In the oven for 10 minutes (the pommes duchees must be golden)                                                       | Enfourner 10 minutes. Les pommes duchesse doivent être dorées
